--- Cartosat-2C Logs ---
[2025-01-01 00:00:00] Temperature: 34.2°C, Voltage: 3.46V, Current: 0.70A, Signal_Strength: -68dBm, Antenna_Angle: 265.12°, Roll: 0.36°, Pitch: -1.87°, Yaw: 33.73°, Packets_Sent: 1078, Status: OK
[2025-01-01 00:01:00] Temperature: 33.1°C, Voltage: 3.67V, Current: 1.19A, Signal_Strength: -54dBm, Antenna_Angle: 151.02°, Roll: 0.36°, Pitch: 1.24°, Yaw: 2.34°, Packets_Sent: 1819, Status: OK
[2025-01-01 00:02:00] Temperature: 35.9°C, Voltage: 3.59V, Current: 0.57A, Signal_Strength: -46dBm, Antenna_Angle: 121.17°, Roll: -0.48°, Pitch: -0.56°, Yaw: 123.82°, Packets_Sent: 1089, Status: OK
[2025-01-01 00:03:00] Temperature: 16.3°C, Voltage: 3.63V, Current: 0.54A, Signal_Strength: -47dBm, Antenna_Angle: 28.37°, Roll: 1.32°, Pitch: 0.47°, Yaw: 310.21°, Packets_Sent: 1500, Status: OK
[2025-01-01 00:04:00] Temperature: 36.1°C, Voltage: 3.47V, Current: 0.65A, Signal_Strength: -66dBm, Antenna_Angle: 28.72°, Roll: 1.47°, Pitch: -0.48°, Yaw: 163.22°, Packets_Sent: 1376, Status: OK
[2025-01-01 00:05:00] Temperature: 19.9°C, Voltage: 3.59V, Current: 1.14A, Signal_Strength: -54dBm, Antenna_Angle: 246.07°, Roll: 0.44°, Pitch: -1.32°, Yaw: 262.48°, Packets_Sent: 1046, Status: OK
[2025-01-01 00:06:00] Temperature: 26.4°C, Voltage: 3.85V, Current: 1.10A, Signal_Strength: -58dBm, Antenna_Angle: 246.45°, Roll: -1.08°, Pitch: -1.87°, Yaw: 113.56°, Packets_Sent: 1014, Status: OK
[2025-01-01 00:07:00] Temperature: 21.3°C, Voltage: 3.83V, Current: 1.36A, Signal_Strength: -66dBm, Antenna_Angle: 235.95°, Roll: 1.54°, Pitch: 0.57°, Yaw: 51.43°, Packets_Sent: 1710, Status: OK
[2025-01-01 00:08:00] Temperature: 37.3°C, Voltage: 3.67V, Current: 1.22A, Signal_Strength: -62dBm, Antenna_Angle: 210.07°, Roll: -1.12°, Pitch: 1.99°, Yaw: 183.42°, Packets_Sent: 1641, Status: OK
[2025-01-01 00:09:00] Temperature: 16.4°C, Voltage: 3.49V, Current: 1.09A, Signal_Strength: -51dBm, Antenna_Angle: 151.97°, Roll: -0.46°, Pitch: 0.38°, Yaw: 168.49°, Packets_Sent: 1030, Status: OK
[2025-01-01 00:10:00] Temperature: 31.6°C, Voltage: 3.83V, Current: 1.15A, Signal_Strength: -72dBm, Antenna_Angle: 318.51°, Roll: 1.07°, Pitch: -0.64°, Yaw: 105.66°, Packets_Sent: 1446, Status: OK
[2025-01-01 00:11:00] Temperature: 15.1°C, Voltage: 3.74V, Current: 1.19A, Signal_Strength: -46dBm, Antenna_Angle: 274.30°, Roll: 1.65°, Pitch: 1.48°, Yaw: 107.44°, Packets_Sent: 1939, Status: OK
