--- Cartosat-2D Logs ---
[2025-01-01 00:00:00] Temperature: 31.1°C, Voltage: 3.58V, Current: 1.26A, Signal_Strength: -63dBm, Antenna_Angle: 267.32°, Roll: -0.80°, Pitch: 0.90°, Yaw: 113.58°, Packets_Sent: 1967, Status: OK
[2025-01-01 00:01:00] Temperature: 21.2°C, Voltage: 3.72V, Current: 1.28A, Signal_Strength: -48dBm, Antenna_Angle: 127.29°, Roll: -0.88°, Pitch: -1.88°, Yaw: 354.09°, Packets_Sent: 1205, Status: OK
[2025-01-01 00:02:00] Temperature: 40.3°C, Voltage: 3.68V, Current: 0.83A, Signal_Strength: -57dBm, Antenna_Angle: 311.25°, Roll: 0.82°, Pitch: -0.74°, Yaw: 11.39°, Packets_Sent: 1531, Status: OK
[2025-01-01 00:03:00] Temperature: 29.9°C, Voltage: 3.55V, Current: 0.90A, Signal_Strength: -46dBm, Antenna_Angle: 77.81°, Roll: -1.30°, Pitch: -0.50°, Yaw: 13.46°, Packets_Sent: 1519, Status: OK
[2025-01-01 00:04:00] Temperature: 17.8°C, Voltage: 3.65V, Current: 1.28A, Signal_Strength: -48dBm, Antenna_Angle: 55.47°, Roll: 1.69°, Pitch: 0.93°, Yaw: 188.50°, Packets_Sent: 1596, Status: OK
[2025-01-01 00:05:00] Temperature: 19.3°C, Voltage: 3.80V, Current: 1.30A, Signal_Strength: -47dBm, Antenna_Angle: 243.61°, Roll: -1.18°, Pitch: -1.85°, Yaw: 139.53°, Packets_Sent: 1171, Status: OK
[2025-01-01 00:06:00] Temperature: 18.5°C, Voltage: 3.57V, Current: 0.45A, Signal_Strength: -50dBm, Antenna_Angle: 313.87°, Roll: -0.13°, Pitch: -1.82°, Yaw: 187.40°, Packets_Sent: 1582, Status: OK
[2025-01-01 00:07:00] Temperature: 24.4°C, Voltage: 3.68V, Current: 0.74A, Signal_Strength: -48dBm, Antenna_Angle: 115.51°, Roll: -0.85°, Pitch: 0.13°, Yaw: 278.20°, Packets_Sent: 1294, Status: OK
[2025-01-01 00:08:00] Temperature: 23.2°C, Voltage: 3.51V, Current: 0.53A, Signal_Strength: -46dBm, Antenna_Angle: 201.46°, Roll: -1.17°, Pitch: -0.60°, Yaw: 114.65°, Packets_Sent: 1109, Status: OK
[2025-01-01 00:09:00] Temperature: 36.1°C, Voltage: 3.56V, Current: 0.67A, Signal_Strength: -73dBm, Antenna_Angle: 220.77°, Roll: 0.16°, Pitch: -1.80°, Yaw: 10.44°, Packets_Sent: 1593, Status: OK
[2025-01-01 00:10:00] Temperature: 16.5°C, Voltage: 3.60V, Current: 0.49A, Signal_Strength: -63dBm, Antenna_Angle: 253.68°, Roll: 0.47°, Pitch: -0.75°, Yaw: 294.27°, Packets_Sent: 1813, Status: OK
[2025-01-01 00:11:00] Temperature: 35.1°C, Voltage: 3.66V, Current: 1.47A, Signal_Strength: -52dBm, Antenna_Angle: 167.65°, Roll: -1.63°, Pitch: 1.21°, Yaw: 251.49°, Packets_Sent: 1169, Status: OK
[2025-01-01 00:12:00] Temperature: 24.3°C, Voltage: 3.71V, Current: 1.24A, Signal_Strength: -61dBm, Antenna_Angle: 341.07°, Roll: 1.44°, Pitch: 0.47°, Yaw: 328.62°, Packets_Sent: 1194, Status: OK
[2025-01-01 00:13:00] Temperature: 36.0°C, Voltage: 3.72V, Current: 1.27A, Signal_Strength: -49dBm, Antenna_Angle: 163.18°, Roll: -1.74°, Pitch: -1.55°, Yaw: 172.31°, Packets_Sent: 961, Status: OK
[2025-01-01 00:14:00] Temperature: 23.5°C, Voltage: 3.59V, Current: 1.03A, Signal_Strength: -60dBm, Antenna_Angle: 146.04°, Roll: -0.70°, Pitch: 0.60°, Yaw: 285.27°, Packets_Sent: 1119, Status: OK
[2025-01-01 00:15:00] Temperature: 27.0°C, Voltage: 3.62V, Current: 1.08A, Signal_Strength: -59dBm, Antenna_Angle: 350.59°, Roll: -1.74°, Pitch: -1.17°, Yaw: 249.85°, Packets_Sent: 1686, Status: OK
[2025-01-01 00:16:00] Temperature: 44.4°C, Voltage: 3.68V, Current: 0.78A, Signal_Strength: -54dBm, Antenna_Angle: 62.31°, Roll: 0.96°, Pitch: 0.85°, Yaw: 301.22°, Packets_Sent: 1059, Status: OK
[2025-01-01 00:17:00] Temperature: 32.9°C, Voltage: 3.58V, Current: 0.51A, Signal_Strength: -62dBm, Antenna_Angle: 110.89°, Roll: -1.72°, Pitch: -1.57°, Yaw: 293.06°, Packets_Sent: 1731, Status: OK
