--- Cartosat-2E Logs ---
[2025-01-01 00:00:00] Temperature: 34.8°C, Voltage: 3.66V, Current: 1.13A, Signal_Strength: -74dBm, Antenna_Angle: 274.67°, Roll: 1.64°, Pitch: 1.02°, Yaw: 121.04°, Packets_Sent: 953, Status: OK
[2025-01-01 00:01:00] Temperature: 22.9°C, Voltage: 3.75V, Current: 0.64A, Signal_Strength: -74dBm, Antenna_Angle: 261.28°, Roll: 1.46°, Pitch: 1.13°, Yaw: 334.27°, Packets_Sent: 1788, Status: OK
[2025-01-01 00:02:00] Temperature: 39.2°C, Voltage: 3.67V, Current: 1.45A, Signal_Strength: -47dBm, Antenna_Angle: 103.47°, Roll: -0.15°, Pitch: 0.29°, Yaw: 204.58°, Packets_Sent: 1995, Status: OK
[2025-01-01 00:03:00] Temperature: 19.9°C, Voltage: 3.60V, Current: 1.22A, Signal_Strength: -47dBm, Antenna_Angle: 47.47°, Roll: -0.88°, Pitch: 0.73°, Yaw: 98.78°, Packets_Sent: 931, Status: OK
[2025-01-01 00:04:00] Temperature: 38.1°C, Voltage: 3.57V, Current: 1.03A, Signal_Strength: -74dBm, Antenna_Angle: 98.73°, Roll: 0.64°, Pitch: 1.13°, Yaw: 291.69°, Packets_Sent: 1450, Status: OK
[2025-01-01 00:05:00] Temperature: 18.7°C, Voltage: 3.68V, Current: 0.75A, Signal_Strength: -67dBm, Antenna_Angle: 64.36°, Roll: -1.93°, Pitch: -1.96°, Yaw: 13.32°, Packets_Sent: 1847, Status: OK
[2025-01-01 00:06:00] Temperature: 34.1°C, Voltage: 3.67V, Current: 0.85A, Signal_Strength: -58dBm, Antenna_Angle: 28.64°, Roll: 1.81°, Pitch: -0.24°, Yaw: 92.88°, Packets_Sent: 1543, Status: OK
[2025-01-01 00:07:00] Temperature: 22.8°C, Voltage: 3.65V, Current: 0.65A, Signal_Strength: -70dBm, Antenna_Angle: 313.64°, Roll: -1.07°, Pitch: 0.62°, Yaw: 66.33°, Packets_Sent: 1001, Status: OK
[2025-01-01 00:08:00] Temperature: 28.2°C, Voltage: 3.58V, Current: 1.01A, Signal_Strength: -68dBm, Antenna_Angle: 342.60°, Roll: 1.90°, Pitch: -1.94°, Yaw: 304.17°, Packets_Sent: 1430, Status: OK
[2025-01-01 00:09:00] Temperature: 31.2°C, Voltage: 3.47V, Current: 0.66A, Signal_Strength: -72dBm, Antenna_Angle: 182.49°, Roll: 0.04°, Pitch: -1.05°, Yaw: 117.28°, Packets_Sent: 1131, Status: OK
[2025-01-01 00:10:00] Temperature: 39.7°C, Voltage: 3.62V, Current: 1.11A, Signal_Strength: -49dBm, Antenna_Angle: 51.51°, Roll: 0.43°, Pitch: -0.56°, Yaw: 351.03°, Packets_Sent: 1568, Status: OK
