--- Cartosat-2F Logs ---
[2025-01-01 00:00:00] Temperature: 23.5°C, Voltage: 3.47V, Current: 0.90A, Signal_Strength: -55dBm, Antenna_Angle: 299.51°, Roll: -0.12°, Pitch: -1.57°, Yaw: 51.04°, Packets_Sent: 1715, Status: OK
[2025-01-01 00:01:00] Temperature: 38.7°C, Voltage: 3.72V, Current: 0.59A, Signal_Strength: -69dBm, Antenna_Angle: 5.04°, Roll: 0.56°, Pitch: 1.51°, Yaw: 321.93°, Packets_Sent: 1230, Status: OK
[2025-01-01 00:02:00] Temperature: 39.8°C, Voltage: 3.49V, Current: 0.61A, Signal_Strength: -59dBm, Antenna_Angle: 350.51°, Roll: 0.29°, Pitch: -0.64°, Yaw: 298.70°, Packets_Sent: 1251, Status: OK
[2025-01-01 00:03:00] Temperature: 35.6°C, Voltage: 3.63V, Current: 1.23A, Signal_Strength: -49dBm, Antenna_Angle: 83.38°, Roll: 1.51°, Pitch: 1.39°, Yaw: 63.80°, Packets_Sent: 1397, Status: OK
[2025-01-01 00:04:00] Temperature: 24.6°C, Voltage: 3.46V, Current: 0.65A, Signal_Strength: -52dBm, Antenna_Angle: 345.51°, Roll: -0.03°, Pitch: 0.81°, Yaw: 196.05°, Packets_Sent: 946, Status: OK
[2025-01-01 00:05:00] Temperature: 27.1°C, Voltage: 3.82V, Current: 0.53A, Signal_Strength: -61dBm, Antenna_Angle: 21.99°, Roll: -1.06°, Pitch: -0.38°, Yaw: 280.75°, Packets_Sent: 1916, Status: OK
[2025-01-01 00:06:00] Temperature: 38.8°C, Voltage: 3.60V, Current: 0.40A, Signal_Strength: -59dBm, Antenna_Angle: 30.37°, Roll: -1.28°, Pitch: 0.52°, Yaw: 118.04°, Packets_Sent: 1250, Status: OK
[2025-01-01 00:07:00] Temperature: 44.8°C, Voltage: 3.72V, Current: 1.13A, Signal_Strength: -75dBm, Antenna_Angle: 120.62°, Roll: 1.75°, Pitch: 0.75°, Yaw: 145.77°, Packets_Sent: 1816, Status: OK
[2025-01-01 00:08:00] Temperature: 17.2°C, Voltage: 3.71V, Current: 1.43A, Signal_Strength: -73dBm, Antenna_Angle: 205.42°, Roll: 0.27°, Pitch: 1.88°, Yaw: 271.78°, Packets_Sent: 1570, Status: OK
[2025-01-01 00:09:00] Temperature: 31.7°C, Voltage: 3.66V, Current: 1.15A, Signal_Strength: -68dBm, Antenna_Angle: 224.43°, Roll: 1.13°, Pitch: 1.47°, Yaw: 343.10°, Packets_Sent: 1491, Status: OK
[2025-01-01 00:10:00] Temperature: 42.6°C, Voltage: 3.79V, Current: 1.28A, Signal_Strength: -46dBm, Antenna_Angle: 249.04°, Roll: 0.65°, Pitch: 0.17°, Yaw: 350.99°, Packets_Sent: 1370, Status: OK
[2025-01-01 00:11:00] Temperature: 77.1°C, Voltage: 3.65V, Current: 0.72A, Signal_Strength: -71dBm, Antenna_Angle: 317.69°, Roll: 1.38°, Pitch: 0.44°, Yaw: 199.27°, Packets_Sent: 1591, Status: Warning
[2025-01-01 00:12:00] Temperature: 28.6°C, Voltage: 3.67V, Current: 0.90A, Signal_Strength: -51dBm, Antenna_Angle: 328.64°, Roll: -1.63°, Pitch: 1.69°, Yaw: 84.70°, Packets_Sent: 1803, Status: OK
[2025-01-01 00:13:00] Temperature: 84.9°C, Voltage: 2.92V, Current: 0.99A, Signal_Strength: -104dBm, Antenna_Angle: 67.23°, Roll: -0.90°, Pitch: 1.12°, Yaw: 346.86°, Packets_Sent: 1825, Status: Critical
[2025-01-01 00:14:00] Temperature: 19.5°C, Voltage: 3.70V, Current: 1.41A, Signal_Strength: -60dBm, Antenna_Angle: 258.67°, Roll: 1.35°, Pitch: -1.48°, Yaw: 185.80°, Packets_Sent: 1215, Status: OK
[2025-01-01 00:15:00] Temperature: 44.8°C, Voltage: 3.47V, Current: 1.11A, Signal_Strength: -65dBm, Antenna_Angle: 188.77°, Roll: 0.57°, Pitch: 0.73°, Yaw: 285.26°, Packets_Sent: 1716, Status: OK
[2025-01-01 00:16:00] Temperature: 35.9°C, Voltage: 3.80V, Current: 1.13A, Signal_Strength: -49dBm, Antenna_Angle: 272.00°, Roll: -0.48°, Pitch: 0.48°, Yaw: 246.81°, Packets_Sent: 1699, Status: OK
[2025-01-01 00:17:00] Temperature: 15.9°C, Voltage: 3.50V, Current: 0.71A, Signal_Strength: -59dBm, Antenna_Angle: 280.21°, Roll: 1.41°, Pitch: -0.93°, Yaw: 65.72°, Packets_Sent: 1601, Status: OK
[2025-01-01 00:18:00] Temperature: 28.8°C, Voltage: 3.61V, Current: 0.55A, Signal_Strength: -50dBm, Antenna_Angle: 220.09°, Roll: 0.55°, Pitch: 0.54°, Yaw: 47.91°, Packets_Sent: 1280, Status: OK
[2025-01-01 00:19:00] Temperature: 32.3°C, Voltage: 3.56V, Current: 0.83A, Signal_Strength: -49dBm, Antenna_Angle: 311.86°, Roll: 0.18°, Pitch: 1.61°, Yaw: 206.13°, Packets_Sent: 1298, Status: OK
[2025-01-01 00:20:00] Temperature: 27.1°C, Voltage: 3.55V, Current: 1.15A, Signal_Strength: -48dBm, Antenna_Angle: 67.17°, Roll: 0.89°, Pitch: 1.73°, Yaw: 64.04°, Packets_Sent: 1591, Status: OK
[2025-01-01 00:21:00] Temperature: 26.7°C, Voltage: 3.84V, Current: 0.59A, Signal_Strength: -47dBm, Antenna_Angle: 79.79°, Roll: -0.63°, Pitch: 0.43°, Yaw: 247.11°, Packets_Sent: 1355, Status: OK
[2025-01-01 00:22:00] Temperature: 40.8°C, Voltage: 3.83V, Current: 0.52A, Signal_Strength: -54dBm, Antenna_Angle: 132.92°, Roll: 1.81°, Pitch: -0.04°, Yaw: 94.62°, Packets_Sent: 952, Status: OK
[2025-01-01 00:23:00] Temperature: 40.5°C, Voltage: 3.58V, Current: 1.07A, Signal_Strength: -52dBm, Antenna_Angle: 278.27°, Roll: 1.30°, Pitch: -1.10°, Yaw: 69.90°, Packets_Sent: 1488, Status: OK
[2025-01-01 00:24:00] Temperature: 18.6°C, Voltage: 3.72V, Current: 0.96A, Signal_Strength: -58dBm, Antenna_Angle: 333.47°, Roll: 1.66°, Pitch: 0.40°, Yaw: 59.33°, Packets_Sent: 1131, Status: OK
[2025-01-01 00:25:00] Temperature: 40.0°C, Voltage: 3.58V, Current: 0.66A, Signal_Strength: -51dBm, Antenna_Angle: 30.96°, Roll: -1.16°, Pitch: -0.77°, Yaw: 117.09°, Packets_Sent: 1645, Status: OK
[2025-01-01 00:26:00] Temperature: 24.8°C, Voltage: 3.58V, Current: 0.52A, Signal_Strength: -53dBm, Antenna_Angle: 131.80°, Roll: 1.27°, Pitch: -0.10°, Yaw: 304.51°, Packets_Sent: 1339, Status: OK
[2025-01-01 00:27:00] Temperature: 22.1°C, Voltage: 3.62V, Current: 1.34A, Signal_Strength: -74dBm, Antenna_Angle: 345.52°, Roll: 1.81°, Pitch: -1.40°, Yaw: 311.12°, Packets_Sent: 1444, Status: OK
[2025-01-01 00:28:00] Temperature: 23.5°C, Voltage: 3.76V, Current: 0.50A, Signal_Strength: -52dBm, Antenna_Angle: 63.84°, Roll: 0.46°, Pitch: 1.79°, Yaw: 43.92°, Packets_Sent: 1684, Status: OK
[2025-01-01 00:29:00] Temperature: 29.2°C, Voltage: 3.47V, Current: 1.21A, Signal_Strength: -71dBm, Antenna_Angle: 172.08°, Roll: -0.56°, Pitch: -1.06°, Yaw: 185.13°, Packets_Sent: 1456, Status: OK
[2025-01-01 00:30:00] Temperature: 38.0°C, Voltage: 3.61V, Current: 1.38A, Signal_Strength: -47dBm, Antenna_Angle: 200.66°, Roll: -0.34°, Pitch: 1.82°, Yaw: 311.04°, Packets_Sent: 1776, Status: OK
[2025-01-01 00:31:00] Temperature: 27.5°C, Voltage: 3.75V, Current: 0.99A, Signal_Strength: -67dBm, Antenna_Angle: 310.52°, Roll: -0.03°, Pitch: -0.65°, Yaw: 121.42°, Packets_Sent: 1183, Status: OK
[2025-01-01 00:32:00] Temperature: 35.1°C, Voltage: 3.67V, Current: 0.77A, Signal_Strength: -57dBm, Antenna_Angle: 347.22°, Roll: 1.15°, Pitch: 1.37°, Yaw: 103.69°, Packets_Sent: 1549, Status: OK
