--- RISAT-2B Logs ---
[2025-01-01 00:00:00] Temperature: 18.1°C, Voltage: 3.81V, Current: 1.17A, Signal_Strength: -48dBm, Antenna_Angle: 153.26°, Roll: 1.23°, Pitch: -1.09°, Yaw: 1.62°, Packets_Sent: 1818, Status: OK
[2025-01-01 00:01:00] Temperature: 34.8°C, Voltage: 3.80V, Current: 1.39A, Signal_Strength: -66dBm, Antenna_Angle: 49.47°, Roll: -1.24°, Pitch: 0.82°, Yaw: 22.61°, Packets_Sent: 1025, Status: OK
[2025-01-01 00:02:00] Temperature: 40.8°C, Voltage: 3.59V, Current: 0.75A, Signal_Strength: -67dBm, Antenna_Angle: 259.12°, Roll: -1.60°, Pitch: 0.56°, Yaw: 107.82°, Packets_Sent: 1185, Status: OK
[2025-01-01 00:03:00] Temperature: 16.5°C, Voltage: 3.79V, Current: 0.93A, Signal_Strength: -57dBm, Antenna_Angle: 229.57°, Roll: -0.14°, Pitch: 1.90°, Yaw: 134.77°, Packets_Sent: 1434, Status: OK
[2025-01-01 00:04:00] Temperature: 40.8°C, Voltage: 3.51V, Current: 0.50A, Signal_Strength: -59dBm, Antenna_Angle: 254.94°, Roll: 0.51°, Pitch: 0.70°, Yaw: 252.14°, Packets_Sent: 1420, Status: OK
[2025-01-01 00:05:00] Temperature: 18.3°C, Voltage: 3.52V, Current: 1.42A, Signal_Strength: -75dBm, Antenna_Angle: 277.79°, Roll: -0.03°, Pitch: -0.27°, Yaw: 228.25°, Packets_Sent: 1889, Status: OK
[2025-01-01 00:06:00] Temperature: 20.9°C, Voltage: 3.53V, Current: 0.66A, Signal_Strength: -99dBm, Antenna_Angle: 212.24°, Roll: -0.58°, Pitch: -0.57°, Yaw: 222.30°, Packets_Sent: 1780, Status: Warning
[2025-01-01 00:07:00] Temperature: 31.3°C, Voltage: 3.57V, Current: 0.88A, Signal_Strength: -73dBm, Antenna_Angle: 187.11°, Roll: 1.14°, Pitch: -0.56°, Yaw: 189.82°, Packets_Sent: 1931, Status: OK
[2025-01-01 00:08:00] Temperature: 37.2°C, Voltage: 3.52V, Current: 1.25A, Signal_Strength: -54dBm, Antenna_Angle: 255.81°, Roll: -1.46°, Pitch: 1.15°, Yaw: 6.48°, Packets_Sent: 1878, Status: OK
[2025-01-01 00:09:00] Temperature: 26.9°C, Voltage: 3.50V, Current: 1.04A, Signal_Strength: -70dBm, Antenna_Angle: 109.85°, Roll: 1.45°, Pitch: 0.55°, Yaw: 114.79°, Packets_Sent: 1343, Status: OK
[2025-01-01 00:10:00] Temperature: 38.6°C, Voltage: 3.61V, Current: 1.01A, Signal_Strength: -70dBm, Antenna_Angle: 313.04°, Roll: 1.02°, Pitch: 0.13°, Yaw: 126.96°, Packets_Sent: 917, Status: OK
[2025-01-01 00:11:00] Temperature: 43.0°C, Voltage: 3.61V, Current: 1.23A, Signal_Strength: -45dBm, Antenna_Angle: 161.00°, Roll: -1.25°, Pitch: 1.04°, Yaw: 317.08°, Packets_Sent: 1742, Status: OK
[2025-01-01 00:12:00] Temperature: 82.9°C, Voltage: 3.10V, Current: 1.27A, Signal_Strength: -103dBm, Antenna_Angle: 98.47°, Roll: 0.28°, Pitch: -1.30°, Yaw: 4.12°, Packets_Sent: 1488, Status: Critical
[2025-01-01 00:13:00] Temperature: 19.0°C, Voltage: 3.61V, Current: 0.69A, Signal_Strength: -97dBm, Antenna_Angle: 123.37°, Roll: 1.85°, Pitch: -0.55°, Yaw: 69.91°, Packets_Sent: 1007, Status: Warning
[2025-01-01 00:14:00] Temperature: 15.6°C, Voltage: 3.54V, Current: 0.48A, Signal_Strength: -53dBm, Antenna_Angle: 30.38°, Roll: -1.02°, Pitch: 1.05°, Yaw: 193.94°, Packets_Sent: 1349, Status: OK
[2025-01-01 00:15:00] Temperature: 19.8°C, Voltage: 3.78V, Current: 0.50A, Signal_Strength: -47dBm, Antenna_Angle: 79.99°, Roll: 0.78°, Pitch: -0.32°, Yaw: 7.66°, Packets_Sent: 911, Status: OK
[2025-01-01 00:16:00] Temperature: 28.8°C, Voltage: 3.71V, Current: 0.75A, Signal_Strength: -67dBm, Antenna_Angle: 39.92°, Roll: 1.32°, Pitch: -1.78°, Yaw: 351.21°, Packets_Sent: 1756, Status: OK
[2025-01-01 00:17:00] Temperature: 26.7°C, Voltage: 3.54V, Current: 0.98A, Signal_Strength: -47dBm, Antenna_Angle: 3.72°, Roll: -1.09°, Pitch: -1.31°, Yaw: 97.69°, Packets_Sent: 1566, Status: OK
[2025-01-01 00:18:00] Temperature: 39.8°C, Voltage: 3.71V, Current: 1.34A, Signal_Strength: -55dBm, Antenna_Angle: 74.01°, Roll: 1.15°, Pitch: -1.54°, Yaw: 231.44°, Packets_Sent: 1305, Status: OK
[2025-01-01 00:19:00] Temperature: 22.8°C, Voltage: 3.74V, Current: 1.46A, Signal_Strength: -66dBm, Antenna_Angle: 337.92°, Roll: -0.44°, Pitch: -0.90°, Yaw: 294.16°, Packets_Sent: 1103, Status: OK
[2025-01-01 00:20:00] Temperature: 37.5°C, Voltage: 3.13V, Current: 0.91A, Signal_Strength: -55dBm, Antenna_Angle: 139.81°, Roll: -0.09°, Pitch: -0.32°, Yaw: 330.68°, Packets_Sent: 1641, Status: Warning
[2025-01-01 00:21:00] Temperature: 33.1°C, Voltage: 3.52V, Current: 1.47A, Signal_Strength: -50dBm, Antenna_Angle: 316.79°, Roll: -0.11°, Pitch: 1.43°, Yaw: 36.03°, Packets_Sent: 1042, Status: OK
[2025-01-01 00:22:00] Temperature: 15.6°C, Voltage: 3.48V, Current: 1.33A, Signal_Strength: -56dBm, Antenna_Angle: 203.26°, Roll: -0.80°, Pitch: -1.27°, Yaw: 317.58°, Packets_Sent: 1253, Status: OK
[2025-01-01 00:23:00] Temperature: 21.6°C, Voltage: 3.57V, Current: 1.25A, Signal_Strength: -73dBm, Antenna_Angle: 178.63°, Roll: -0.93°, Pitch: -0.29°, Yaw: 120.68°, Packets_Sent: 1348, Status: OK
[2025-01-01 00:24:00] Temperature: 39.7°C, Voltage: 3.68V, Current: 0.89A, Signal_Strength: -52dBm, Antenna_Angle: 3.88°, Roll: 1.50°, Pitch: 1.09°, Yaw: 133.10°, Packets_Sent: 1635, Status: OK
[2025-01-01 00:25:00] Temperature: 89.6°C, Voltage: 3.50V, Current: 1.02A, Signal_Strength: -74dBm, Antenna_Angle: 247.75°, Roll: -1.21°, Pitch: -0.26°, Yaw: 254.19°, Packets_Sent: 1254, Status: Critical
[2025-01-01 00:26:00] Temperature: 15.1°C, Voltage: 3.59V, Current: 0.95A, Signal_Strength: -65dBm, Antenna_Angle: 318.82°, Roll: 0.97°, Pitch: -0.93°, Yaw: 32.89°, Packets_Sent: 1886, Status: OK
[2025-01-01 00:27:00] Temperature: 91.9°C, Voltage: 2.98V, Current: 1.06A, Signal_Strength: -99dBm, Antenna_Angle: 11.70°, Roll: -0.09°, Pitch: -1.69°, Yaw: 241.90°, Packets_Sent: 1351, Status: Critical
[2025-01-01 00:28:00] Temperature: 23.8°C, Voltage: 3.63V, Current: 1.45A, Signal_Strength: -59dBm, Antenna_Angle: 99.29°, Roll: -1.80°, Pitch: 0.91°, Yaw: 29.65°, Packets_Sent: 1836, Status: OK
[2025-01-01 00:29:00] Temperature: 40.3°C, Voltage: 3.84V, Current: 0.79A, Signal_Strength: -63dBm, Antenna_Angle: 322.59°, Roll: -1.47°, Pitch: 1.51°, Yaw: 271.80°, Packets_Sent: 1857, Status: OK
[2025-01-01 00:30:00] Temperature: 42.7°C, Voltage: 3.81V, Current: 1.26A, Signal_Strength: -64dBm, Antenna_Angle: 106.89°, Roll: 0.08°, Pitch: 1.27°, Yaw: 268.75°, Packets_Sent: 1078, Status: OK
[2025-01-01 00:31:00] Temperature: 43.2°C, Voltage: 3.51V, Current: 0.92A, Signal_Strength: -54dBm, Antenna_Angle: 207.67°, Roll: -1.96°, Pitch: 0.07°, Yaw: 120.42°, Packets_Sent: 1125, Status: OK
[2025-01-01 00:32:00] Temperature: 34.5°C, Voltage: 2.94V, Current: 0.82A, Signal_Strength: -66dBm, Antenna_Angle: 85.03°, Roll: 1.01°, Pitch: -0.29°, Yaw: 121.48°, Packets_Sent: 1743, Status: Critical
[2025-01-01 00:33:00] Temperature: 42.4°C, Voltage: 3.69V, Current: 0.67A, Signal_Strength: -74dBm, Antenna_Angle: 173.89°, Roll: 0.66°, Pitch: -1.91°, Yaw: 145.63°, Packets_Sent: 1801, Status: OK
[2025-01-01 00:34:00] Temperature: 41.6°C, Voltage: 3.50V, Current: 1.43A, Signal_Strength: -70dBm, Antenna_Angle: 66.03°, Roll: 1.55°, Pitch: -0.10°, Yaw: 206.86°, Packets_Sent: 1740, Status: OK
[2025-01-01 00:35:00] Temperature: 17.4°C, Voltage: 3.46V, Current: 0.96A, Signal_Strength: -60dBm, Antenna_Angle: 182.54°, Roll: -1.13°, Pitch: 1.04°, Yaw: 243.44°, Packets_Sent: 1573, Status: OK
[2025-01-01 00:36:00] Temperature: 16.4°C, Voltage: 3.64V, Current: 0.63A, Signal_Strength: -63dBm, Antenna_Angle: 109.68°, Roll: 0.79°, Pitch: 0.77°, Yaw: 312.64°, Packets_Sent: 1246, Status: OK
[2025-01-01 00:37:00] Temperature: 29.4°C, Voltage: 3.61V, Current: 1.22A, Signal_Strength: -66dBm, Antenna_Angle: 357.92°, Roll: 1.39°, Pitch: 1.38°, Yaw: 229.24°, Packets_Sent: 1560, Status: OK
[2025-01-01 00:38:00] Temperature: 19.2°C, Voltage: 3.50V, Current: 0.90A, Signal_Strength: -67dBm, Antenna_Angle: 308.31°, Roll: 1.06°, Pitch: 1.06°, Yaw: 196.22°, Packets_Sent: 1765, Status: OK
[2025-01-01 00:39:00] Temperature: 36.7°C, Voltage: 3.46V, Current: 0.83A, Signal_Strength: -69dBm, Antenna_Angle: 22.03°, Roll: -0.39°, Pitch: -1.35°, Yaw: 335.13°, Packets_Sent: 1042, Status: OK
[2025-01-01 00:40:00] Temperature: 41.4°C, Voltage: 3.64V, Current: 1.44A, Signal_Strength: -58dBm, Antenna_Angle: 63.83°, Roll: 1.36°, Pitch: -1.68°, Yaw: 358.26°, Packets_Sent: 1942, Status: OK
[2025-01-01 00:41:00] Temperature: 42.9°C, Voltage: 3.65V, Current: 1.02A, Signal_Strength: -62dBm, Antenna_Angle: 116.23°, Roll: 1.09°, Pitch: -1.07°, Yaw: 32.56°, Packets_Sent: 1317, Status: OK
[2025-01-01 00:42:00] Temperature: 42.7°C, Voltage: 3.66V, Current: 1.30A, Signal_Strength: -66dBm, Antenna_Angle: 94.47°, Roll: 0.35°, Pitch: -1.37°, Yaw: 74.25°, Packets_Sent: 1729, Status: OK
[2025-01-01 00:43:00] Temperature: 31.1°C, Voltage: 3.83V, Current: 0.66A, Signal_Strength: -48dBm, Antenna_Angle: 242.84°, Roll: 1.83°, Pitch: -0.79°, Yaw: 356.23°, Packets_Sent: 1386, Status: OK
[2025-01-01 00:44:00] Temperature: 15.6°C, Voltage: 3.56V, Current: 1.25A, Signal_Strength: -57dBm, Antenna_Angle: 150.67°, Roll: 1.98°, Pitch: 0.40°, Yaw: 22.86°, Packets_Sent: 954, Status: OK
[2025-01-01 00:45:00] Temperature: 31.2°C, Voltage: 3.53V, Current: 0.80A, Signal_Strength: -45dBm, Antenna_Angle: 190.98°, Roll: -1.07°, Pitch: 1.65°, Yaw: 267.29°, Packets_Sent: 1456, Status: OK
[2025-01-01 00:46:00] Temperature: 38.6°C, Voltage: 3.77V, Current: 1.17A, Signal_Strength: -52dBm, Antenna_Angle: 249.74°, Roll: -0.14°, Pitch: 0.16°, Yaw: 149.14°, Packets_Sent: 1054, Status: OK
[2025-01-01 00:47:00] Temperature: 42.8°C, Voltage: 3.60V, Current: 0.81A, Signal_Strength: -56dBm, Antenna_Angle: 238.79°, Roll: -0.63°, Pitch: 0.58°, Yaw: 208.76°, Packets_Sent: 1133, Status: OK
[2025-01-01 00:48:00] Temperature: 90.5°C, Voltage: 2.67V, Current: 0.82A, Signal_Strength: -109dBm, Antenna_Angle: 317.69°, Roll: 1.61°, Pitch: 0.62°, Yaw: 33.53°, Packets_Sent: 1190, Status: Critical
[2025-01-01 00:49:00] Temperature: 33.0°C, Voltage: 3.51V, Current: 1.09A, Signal_Strength: -74dBm, Antenna_Angle: 316.73°, Roll: -1.88°, Pitch: 0.52°, Yaw: 11.32°, Packets_Sent: 1316, Status: OK
[2025-01-01 00:50:00] Temperature: 41.0°C, Voltage: 3.79V, Current: 0.90A, Signal_Strength: -63dBm, Antenna_Angle: 190.32°, Roll: 0.20°, Pitch: 0.61°, Yaw: 277.33°, Packets_Sent: 1749, Status: OK
[2025-01-01 00:51:00] Temperature: 40.3°C, Voltage: 3.58V, Current: 1.44A, Signal_Strength: -55dBm, Antenna_Angle: 6.93°, Roll: 0.07°, Pitch: 0.64°, Yaw: 347.73°, Packets_Sent: 1201, Status: OK
[2025-01-01 00:52:00] Temperature: 20.5°C, Voltage: 3.71V, Current: 1.09A, Signal_Strength: -72dBm, Antenna_Angle: 150.82°, Roll: -0.31°, Pitch: 0.37°, Yaw: 40.44°, Packets_Sent: 904, Status: OK
[2025-01-01 00:53:00] Temperature: 41.8°C, Voltage: 3.79V, Current: 0.59A, Signal_Strength: -61dBm, Antenna_Angle: 141.08°, Roll: 0.23°, Pitch: 0.12°, Yaw: 302.63°, Packets_Sent: 931, Status: OK
[2025-01-01 00:54:00] Temperature: 18.6°C, Voltage: 3.47V, Current: 1.23A, Signal_Strength: -70dBm, Antenna_Angle: 332.21°, Roll: 0.69°, Pitch: 1.53°, Yaw: 101.02°, Packets_Sent: 1298, Status: OK
[2025-01-01 00:55:00] Temperature: 39.1°C, Voltage: 3.60V, Current: 1.12A, Signal_Strength: -56dBm, Antenna_Angle: 120.24°, Roll: 0.72°, Pitch: 1.50°, Yaw: 323.99°, Packets_Sent: 1968, Status: OK
[2025-01-01 00:56:00] Temperature: 88.9°C, Voltage: 3.75V, Current: 1.29A, Signal_Strength: -47dBm, Antenna_Angle: 51.34°, Roll: 0.63°, Pitch: -0.50°, Yaw: 146.81°, Packets_Sent: 1232, Status: Critical
[2025-01-01 00:57:00] Temperature: 19.7°C, Voltage: 3.54V, Current: 0.80A, Signal_Strength: -75dBm, Antenna_Angle: 198.47°, Roll: 0.28°, Pitch: -0.38°, Yaw: 293.88°, Packets_Sent: 1445, Status: OK
[2025-01-01 00:58:00] Temperature: 22.5°C, Voltage: 3.60V, Current: 1.24A, Signal_Strength: -75dBm, Antenna_Angle: 330.58°, Roll: -1.03°, Pitch: -0.73°, Yaw: 304.00°, Packets_Sent: 1501, Status: OK
[2025-01-01 00:59:00] Temperature: 24.3°C, Voltage: 3.59V, Current: 0.64A, Signal_Strength: -52dBm, Antenna_Angle: 92.10°, Roll: 0.80°, Pitch: 1.26°, Yaw: 284.31°, Packets_Sent: 1062, Status: OK
[2025-01-01 01:00:00] Temperature: 23.4°C, Voltage: 3.46V, Current: 0.67A, Signal_Strength: -63dBm, Antenna_Angle: 252.60°, Roll: 0.19°, Pitch: -1.52°, Yaw: 314.73°, Packets_Sent: 1944, Status: OK
[2025-01-01 01:01:00] Temperature: 91.1°C, Voltage: 2.96V, Current: 0.81A, Signal_Strength: -101dBm, Antenna_Angle: 144.02°, Roll: 2.00°, Pitch: 1.84°, Yaw: 83.09°, Packets_Sent: 1211, Status: Critical
[2025-01-01 01:02:00] Temperature: 30.9°C, Voltage: 3.56V, Current: 0.48A, Signal_Strength: -64dBm, Antenna_Angle: 111.75°, Roll: 1.87°, Pitch: 1.42°, Yaw: 239.96°, Packets_Sent: 1892, Status: OK
[2025-01-01 01:03:00] Temperature: 37.5°C, Voltage: 3.83V, Current: 0.60A, Signal_Strength: -59dBm, Antenna_Angle: 66.42°, Roll: 0.25°, Pitch: -1.48°, Yaw: 138.18°, Packets_Sent: 1741, Status: OK
[2025-01-01 01:04:00] Temperature: 44.0°C, Voltage: 3.83V, Current: 1.03A, Signal_Strength: -63dBm, Antenna_Angle: 68.09°, Roll: -0.49°, Pitch: 1.94°, Yaw: 327.12°, Packets_Sent: 1606, Status: OK
[2025-01-01 01:05:00] Temperature: 34.7°C, Voltage: 3.51V, Current: 1.41A, Signal_Strength: -57dBm, Antenna_Angle: 342.48°, Roll: -1.14°, Pitch: 1.01°, Yaw: 264.52°, Packets_Sent: 1407, Status: OK
[2025-01-01 01:06:00] Temperature: 27.0°C, Voltage: 3.66V, Current: 1.18A, Signal_Strength: -61dBm, Antenna_Angle: 67.42°, Roll: -1.95°, Pitch: -1.51°, Yaw: 91.73°, Packets_Sent: 1788, Status: OK
[2025-01-01 01:07:00] Temperature: 30.7°C, Voltage: 3.80V, Current: 0.68A, Signal_Strength: -57dBm, Antenna_Angle: 88.92°, Roll: -1.20°, Pitch: 0.11°, Yaw: 68.25°, Packets_Sent: 1570, Status: OK
[2025-01-01 01:08:00] Temperature: 17.5°C, Voltage: 3.85V, Current: 0.84A, Signal_Strength: -74dBm, Antenna_Angle: 322.84°, Roll: -0.81°, Pitch: 0.61°, Yaw: 236.95°, Packets_Sent: 1493, Status: OK
[2025-01-01 01:09:00] Temperature: 27.0°C, Voltage: 3.79V, Current: 1.20A, Signal_Strength: -47dBm, Antenna_Angle: 344.36°, Roll: 0.96°, Pitch: 0.65°, Yaw: 307.04°, Packets_Sent: 1524, Status: OK
[2025-01-01 01:10:00] Temperature: 36.9°C, Voltage: 3.68V, Current: 0.64A, Signal_Strength: -71dBm, Antenna_Angle: 73.48°, Roll: -0.71°, Pitch: 1.60°, Yaw: 303.69°, Packets_Sent: 1915, Status: OK
[2025-01-01 01:11:00] Temperature: 16.0°C, Voltage: 3.70V, Current: 0.88A, Signal_Strength: -65dBm, Antenna_Angle: 241.68°, Roll: -1.36°, Pitch: 1.14°, Yaw: 338.33°, Packets_Sent: 1508, Status: OK
[2025-01-01 01:12:00] Temperature: 42.3°C, Voltage: 3.58V, Current: 1.47A, Signal_Strength: -56dBm, Antenna_Angle: 20.02°, Roll: -1.07°, Pitch: 1.33°, Yaw: 11.15°, Packets_Sent: 1274, Status: OK
[2025-01-01 01:13:00] Temperature: 44.8°C, Voltage: 3.62V, Current: 1.44A, Signal_Strength: -72dBm, Antenna_Angle: 339.57°, Roll: -1.50°, Pitch: 1.75°, Yaw: 338.45°, Packets_Sent: 1720, Status: OK
[2025-01-01 01:14:00] Temperature: 31.4°C, Voltage: 3.84V, Current: 1.30A, Signal_Strength: -56dBm, Antenna_Angle: 308.62°, Roll: 0.14°, Pitch: 1.52°, Yaw: 30.66°, Packets_Sent: 1723, Status: OK
[2025-01-01 01:15:00] Temperature: 22.4°C, Voltage: 3.82V, Current: 0.89A, Signal_Strength: -63dBm, Antenna_Angle: 36.18°, Roll: -0.28°, Pitch: -0.67°, Yaw: 172.90°, Packets_Sent: 1977, Status: OK
[2025-01-01 01:16:00] Temperature: 34.5°C, Voltage: 3.74V, Current: 1.46A, Signal_Strength: -66dBm, Antenna_Angle: 304.78°, Roll: -1.01°, Pitch: 1.76°, Yaw: 176.67°, Packets_Sent: 1534, Status: OK
[2025-01-01 01:17:00] Temperature: 19.9°C, Voltage: 3.54V, Current: 0.48A, Signal_Strength: -69dBm, Antenna_Angle: 237.76°, Roll: 1.40°, Pitch: -1.61°, Yaw: 18.66°, Packets_Sent: 1546, Status: OK
[2025-01-01 01:18:00] Temperature: 20.9°C, Voltage: 3.52V, Current: 0.95A, Signal_Strength: -46dBm, Antenna_Angle: 22.36°, Roll: -1.66°, Pitch: 0.30°, Yaw: 238.76°, Packets_Sent: 1758, Status: OK
[2025-01-01 01:19:00] Temperature: 19.4°C, Voltage: 3.58V, Current: 1.08A, Signal_Strength: -50dBm, Antenna_Angle: 215.14°, Roll: 0.36°, Pitch: 0.06°, Yaw: 69.61°, Packets_Sent: 1045, Status: OK
[2025-01-01 01:20:00] Temperature: 20.7°C, Voltage: 3.74V, Current: 1.29A, Signal_Strength: -49dBm, Antenna_Angle: 111.78°, Roll: -0.85°, Pitch: 0.44°, Yaw: 280.70°, Packets_Sent: 1818, Status: OK
[2025-01-01 01:21:00] Temperature: 15.8°C, Voltage: 3.75V, Current: 0.99A, Signal_Strength: -49dBm, Antenna_Angle: 278.80°, Roll: 1.95°, Pitch: 1.69°, Yaw: 318.54°, Packets_Sent: 1545, Status: OK
