--- RISAT-2BR1 Logs ---
[2025-01-01 00:00:00] Temperature: 34.5°C, Voltage: 3.60V, Current: 1.08A, Signal_Strength: -52dBm, Antenna_Angle: 343.65°, Roll: 0.12°, Pitch: 0.53°, Yaw: 178.76°, Packets_Sent: 962, Status: OK
[2025-01-01 00:01:00] Temperature: 36.3°C, Voltage: 3.75V, Current: 0.41A, Signal_Strength: -58dBm, Antenna_Angle: 50.09°, Roll: -0.03°, Pitch: 1.04°, Yaw: 198.45°, Packets_Sent: 1620, Status: OK
[2025-01-01 00:02:00] Temperature: 36.1°C, Voltage: 3.51V, Current: 0.43A, Signal_Strength: -46dBm, Antenna_Angle: 237.96°, Roll: 0.24°, Pitch: 0.46°, Yaw: 264.60°, Packets_Sent: 1447, Status: OK
[2025-01-01 00:03:00] Temperature: 20.7°C, Voltage: 3.64V, Current: 0.53A, Signal_Strength: -57dBm, Antenna_Angle: 31.81°, Roll: -1.25°, Pitch: 0.87°, Yaw: 16.09°, Packets_Sent: 1585, Status: OK
[2025-01-01 00:04:00] Temperature: 30.4°C, Voltage: 3.82V, Current: 1.11A, Signal_Strength: -54dBm, Antenna_Angle: 53.07°, Roll: -0.40°, Pitch: 1.22°, Yaw: 15.81°, Packets_Sent: 1956, Status: OK
[2025-01-01 00:05:00] Temperature: 20.2°C, Voltage: 3.82V, Current: 0.60A, Signal_Strength: -75dBm, Antenna_Angle: 281.94°, Roll: 1.55°, Pitch: -0.95°, Yaw: 343.65°, Packets_Sent: 1515, Status: OK
[2025-01-01 00:06:00] Temperature: 44.4°C, Voltage: 3.84V, Current: 0.45A, Signal_Strength: -58dBm, Antenna_Angle: 92.58°, Roll: 0.54°, Pitch: 1.89°, Yaw: 210.39°, Packets_Sent: 1070, Status: OK
[2025-01-01 00:07:00] Temperature: 26.8°C, Voltage: 3.73V, Current: 0.62A, Signal_Strength: -72dBm, Antenna_Angle: 140.01°, Roll: -0.27°, Pitch: -1.46°, Yaw: 185.33°, Packets_Sent: 1625, Status: OK
[2025-01-01 00:08:00] Temperature: 30.3°C, Voltage: 3.65V, Current: 1.20A, Signal_Strength: -64dBm, Antenna_Angle: 153.20°, Roll: -1.70°, Pitch: -0.44°, Yaw: 345.22°, Packets_Sent: 1386, Status: OK
[2025-01-01 00:09:00] Temperature: 18.8°C, Voltage: 3.82V, Current: 1.33A, Signal_Strength: -99dBm, Antenna_Angle: 31.75°, Roll: 1.20°, Pitch: 1.47°, Yaw: 200.16°, Packets_Sent: 1100, Status: Warning
[2025-01-01 00:10:00] Temperature: 32.7°C, Voltage: 3.72V, Current: 0.89A, Signal_Strength: -49dBm, Antenna_Angle: 271.31°, Roll: -1.14°, Pitch: -1.93°, Yaw: 118.53°, Packets_Sent: 931, Status: OK
[2025-01-01 00:11:00] Temperature: 36.9°C, Voltage: 3.79V, Current: 0.97A, Signal_Strength: -51dBm, Antenna_Angle: 275.50°, Roll: 0.24°, Pitch: 1.80°, Yaw: 205.03°, Packets_Sent: 1403, Status: OK
[2025-01-01 00:12:00] Temperature: 32.7°C, Voltage: 3.75V, Current: 0.69A, Signal_Strength: -51dBm, Antenna_Angle: 263.18°, Roll: -1.07°, Pitch: -0.24°, Yaw: 201.88°, Packets_Sent: 1640, Status: OK
[2025-01-01 00:13:00] Temperature: 41.5°C, Voltage: 3.83V, Current: 0.85A, Signal_Strength: -69dBm, Antenna_Angle: 20.27°, Roll: 0.91°, Pitch: -1.50°, Yaw: 262.85°, Packets_Sent: 1578, Status: OK
[2025-01-01 00:14:00] Temperature: 39.2°C, Voltage: 3.55V, Current: 0.96A, Signal_Strength: -59dBm, Antenna_Angle: 293.28°, Roll: 0.99°, Pitch: -0.34°, Yaw: 287.87°, Packets_Sent: 1982, Status: OK
[2025-01-01 00:15:00] Temperature: 34.8°C, Voltage: 3.69V, Current: 0.58A, Signal_Strength: -52dBm, Antenna_Angle: 338.12°, Roll: 0.65°, Pitch: 1.49°, Yaw: 57.18°, Packets_Sent: 1995, Status: OK
[2025-01-01 00:16:00] Temperature: 36.5°C, Voltage: 3.81V, Current: 1.24A, Signal_Strength: -72dBm, Antenna_Angle: 78.60°, Roll: -0.51°, Pitch: -1.83°, Yaw: 323.37°, Packets_Sent: 1402, Status: OK
[2025-01-01 00:17:00] Temperature: 27.8°C, Voltage: 3.74V, Current: 1.15A, Signal_Strength: -50dBm, Antenna_Angle: 174.58°, Roll: 0.56°, Pitch: 0.01°, Yaw: 219.89°, Packets_Sent: 1738, Status: OK
[2025-01-01 00:18:00] Temperature: 24.7°C, Voltage: 3.67V, Current: 0.93A, Signal_Strength: -67dBm, Antenna_Angle: 101.06°, Roll: 1.32°, Pitch: -0.10°, Yaw: 52.76°, Packets_Sent: 1566, Status: OK
[2025-01-01 00:19:00] Temperature: 34.1°C, Voltage: 3.48V, Current: 0.93A, Signal_Strength: -48dBm, Antenna_Angle: 246.12°, Roll: 0.40°, Pitch: -1.37°, Yaw: 181.06°, Packets_Sent: 1575, Status: OK
